"","ano_mes_dia","consumo"
"1",2004-01-01,26978358.02
"2",2004-02-01,26508170.77
"3",2004-03-01,27284329.41
"4",2004-04-01,28046182.351
"5",2004-05-01,27244506.48
"6",2004-06-01,27082961.48
"7",2004-07-01,27346004.67
"8",2004-08-01,27656857.79
"9",2004-09-01,28232451.24
"10",2004-10-01,28556120.94
"11",2004-11-01,28367124.05
"12",2004-12-01,28562106.43
"13",2005-01-01,28375437.441
"14",2005-02-01,27838480.97
"15",2005-03-01,28598631.509
"16",2005-04-01,29355501.91
"17",2005-05-01,28482150.61
"18",2005-06-01,28326181.92
"19",2005-07-01,28322317.12
"20",2005-08-01,28764354.809
"21",2005-09-01,29335128.08
"22",2005-10-01,29145312.05
"23",2005-11-01,29287617.22
"24",2005-12-01,29505146.07
"25",2006-01-01,28880910.62
"26",2006-02-01,29383486.5
"27",2006-03-01,29897827.73
"28",2006-04-01,29887953.01
"29",2006-05-01,28925038.56
"30",2006-06-01,29068797.6
"31",2006-07-01,29113809.23
"32",2006-08-01,29886236.06
"33",2006-09-01,29916630.539
"34",2006-10-01,30143525.32
"35",2006-11-01,30531121.36
"36",2006-12-01,30493979.03
"37",2007-01-01,30699704
"38",2007-02-01,30324669
"39",2007-03-01,31312900
"40",2007-04-01,32030744
"41",2007-05-01,31382917
"42",2007-06-01,30766760
"43",2007-07-01,30500299
"44",2007-08-01,31181133
"45",2007-09-01,31735736
"46",2007-10-01,32135735
"47",2007-11-01,32654491
"48",2007-12-01,32304926
"49",2008-01-01,31855946.27
"50",2008-02-01,31730940.65
"51",2008-03-01,32118714.86
"52",2008-04-01,31952656.29
"53",2008-05-01,32299963.39
"54",2008-06-01,31742987.79
"55",2008-07-01,32150352.03
"56",2008-08-01,33013528.63
"57",2008-09-01,32964086.69
"58",2008-10-01,33673777.38
"59",2008-11-01,33410166.51
"60",2008-12-01,31559278.49
"61",2009-01-01,30666661.8
"62",2009-02-01,30495142.71
"63",2009-03-01,31977749.51
"64",2009-04-01,32042792.8
"65",2009-05-01,30945452.9
"66",2009-06-01,30715169.95
"67",2009-07-01,31324991.23
"68",2009-08-01,32262205.6
"69",2009-09-01,32716665.81
"70",2009-10-01,33419533.14
"71",2009-11-01,33616820.2
"72",2009-12-01,34123194.7
"73",2010-01-01,33360460.71
"74",2010-02-01,33729757.75
"75",2010-03-01,35116881.82
"76",2010-04-01,35025860.49
"77",2010-05-01,34296978
"78",2010-06-01,34169459
"79",2010-07-01,33849349
"80",2010-08-01,34713394.23
"81",2010-09-01,35182271.01
"82",2010-10-01,35188924.99
"83",2010-11-01,35077981.26
"84",2010-12-01,35956439.4
"85",2011-01-01,35873744.26
"86",2011-02-01,35444916.66
"87",2011-03-01,36350690.05
"88",2011-04-01,36048318.05
"89",2011-05-01,35565987.39
"90",2011-06-01,35159573.72
"91",2011-07-01,35417292.62
"92",2011-08-01,36335812.84
"93",2011-09-01,36965189.34
"94",2011-10-01,36743770.38
"95",2011-11-01,36368389.77
"96",2011-12-01,36741948.78
"97",2012-01-01,36305167.29
"98",2012-02-01,36900531.02
"99",2012-03-01,38623110.72
"100",2012-04-01,37995869.09
"101",2012-05-01,36810191.03
"102",2012-06-01,36528393.11
"103",2012-07-01,35917147.2
"104",2012-08-01,37179602.53
"105",2012-09-01,37661696.12
"106",2012-10-01,37796014.07
"107",2012-11-01,38643584.23
"108",2012-12-01,37765084.44
"109",2013-01-01,38366809.74
"110",2013-02-01,38005651.72
"111",2013-03-01,38442191.55
"112",2013-04-01,38653663.43
"113",2013-05-01,38344861.57
"114",2013-06-01,37627698.01
"115",2013-07-01,37697945.03
"116",2013-08-01,38613276.26
"117",2013-09-01,38524724.16
"118",2013-10-01,39389004.38
"119",2013-11-01,39920289.54
"120",2013-12-01,39556378.24
"121",2014-01-01,40279759
"122",2014-02-01,41653487
"123",2014-03-01,40269429
"124",2014-04-01,39591854
"125",2014-05-01,39100499
"126",2014-06-01,37726472.88
"127",2014-07-01,37866809
"128",2014-08-01,38550694
"129",2014-09-01,38894976
"130",2014-10-01,40100440.59
"131",2014-11-01,40950726.39
"132",2014-12-01,39838307.03
"133",2015-01-01,40757967.53
"134",2015-02-01,40719266.36
"135",2015-03-01,39758964.39
"136",2015-04-01,39596670.3
"137",2015-05-01,38202362.34
"138",2015-06-01,37263665.83
"139",2015-07-01,36816443.29
"140",2015-08-01,37858685.11
"141",2015-09-01,37841649.6
"142",2015-10-01,39276665.57
"143",2015-11-01,39224855.37
"144",2015-12-01,38669960.36
"145",2016-01-01,38400901.1
"146",2016-02-01,38727336.57
"147",2016-03-01,39444914.24
"148",2016-04-01,40269420.08
"149",2016-05-01,38648672.58
"150",2016-06-01,37550409.23
"151",2016-07-01,37255240.92
"152",2016-08-01,37693934.25
"153",2016-09-01,38345059.93
"154",2016-10-01,38197842.24
"155",2016-11-01,38754249.06
"156",2016-12-01,38780794.98
"157",2017-01-01,39369163.58
"158",2017-02-01,38836387.49
"159",2017-03-01,40545594.16
"160",2017-04-01,39430431.29
"161",2017-05-01,38154686.32
"162",2017-06-01,38114265.09
"163",2017-07-01,37380263.36
"164",2017-08-01,37865728.85
"165",2017-09-01,39008926.43
"166",2017-10-01,39336272.02
